Object,Epoch,TP,e,i,w,Node,qq,Q,P,MOID,A1,A2,A3,DT,ref,Object_name
1P/Halley,49400,2446467.395,0.967142909,162.2626906,111.3324851,58.42008098,0.585978112,35.08,75.32,0.063782,2.70E-10,1.55E-10,,,J863/77,1P/Halley
2P/Encke,56870,2456618.204,0.848268251,11.77999525,186.5403463,334.5698056,0.336092386,4.09,3.3,0.173092,1.58E-10,-5.05E-12,,,74,2P/Encke
3D/Biela,-9480,2390514.115,0.751299,13.2164,221.6588,250.669,0.879073,6.19,6.65,0.000518,3.90E-09,-2.54E-10,,,IAUCAT03,3D/Biela
5D/Brorsen,7440,2407439.534,0.809796,29.3821,14.9468,102.9676,0.589847,5.61,5.46,0.366559,1.27E-08,1.34E-09,,,IAUCAT03,5D/Brorsen
7P/Pons-Winnecke,56981,2457053.028,0.637527505,22.33501476,172.5061606,93.41632728,1.239214834,5.6,6.32,0.224191,7.86E-11,-1.15E-11,-1.53E-10,131,K088/14,7P/Pons-Winnecke
8P/Tuttle,54374,2454492.526,0.819799747,54.98318484,207.509246,270.341652,1.027116587,10.37,13.61,0.09531,6.89E-10,1.37E-10,-4.59E-10,,K074/27,8P/Tuttle
12P/Pons-Brooks,35000,2434885.381,0.954812394,74.17689423,199.0284686,255.8911444,0.773667087,33.47,70.85,0.1873,-1.02E-09,-2.71E-10,,,15,12P/Pons-Brooks
13P/Olbers,35760,2435643.635,0.930297148,44.60988573,64.64120652,86.10312835,1.178450614,32.64,69.52,0.477199,9.45E-09,6.49E-10,,,10,13P/Olbers
15P/Finlay,57003,2457018.557,0.720183766,6.798912616,347.5528394,13.7781465,0.975900773,6,6.51,0.009433,4.08E-09,6.65E-11,,,K085/14,15P/Finlay
18D/Perrine-Mrkos,40240,2440162.042,0.642580982,17.75898277,166.0504171,240.8755466,1.272248081,5.85,6.72,0.28923,,,,,J682/18,18D/Perrine-Mrkos
20D/Westphal,20080,2420098.29,0.919831189,40.89006106,57.08095497,348.0064469,1.254012762,30.03,61.87,0.468283,,,,,19,20D/Westphal
21P/Giacobini-Zinner,56498,2455969.126,0.706817887,31.90810099,172.5844249,195.3970145,1.030696274,6,6.59,0.035395,3.35E-09,-4.29E-10,-9.57E-10,-32.8,K123/6,21P/Giacobini-Zinner
23P/Brorsen-Metcalf,47800,2447781.437,0.971952258,19.33394047,129.6106837,311.5854622,0.478752711,33.66,70.52,0.193872,2.25E-09,-5.33E-10,,,13,23P/Brorsen-Metcalf
24P/Schaumasse,52120,2452032.161,0.704800356,11.75152976,57.87449255,79.8310383,1.205010042,6.96,8.25,0.28218,1.10E-09,-5.86E-10,,,K014/19,24P/Schaumasse
26P/Grigg-Skjellerup,56978,2456479.559,0.640277138,22.42889388,2.146692288,211.5375548,1.085247781,4.95,5.24,0.079476,1.13E-10,-1.05E-11,,,K139/6,26P/Grigg-Skjellerup
27P/Crommelin,56364,2455777.391,0.918981092,28.96687279,196.0253969,250.6264098,0.748287467,17.72,28.07,0.215189,-3.65E-08,-1.71E-09,2.08E-09,,K113/4,27P/Crommelin
41P/Tuttle-Giacobini-Kresak,53821,2453898.291,0.660412665,9.228028049,62.19321856,141.0929309,1.047777635,5.12,5.42,0.135384,1.35E-08,3.31E-09,,,K064/9,41P/Tuttle-Giacobini-Kresak
45P/Honda-Mrkos-Pajdusakova,56060,2455833.282,0.824672076,4.252433261,326.2580404,89.0021809,0.529761421,5.51,5.25,0.060071,3.88E-09,4.33E-10,,,K112/2,45P/Honda-Mrkos-Pajdusakova
46P/Wirtanen,56799,2456482.869,0.659202561,11.75713931,356.3402053,82.16439077,1.052262085,5.12,5.43,0.068212,2.82E-09,-1.36E-09,6.65E-10,-3.73,K073/17,46P/Wirtanen
55P/Tempel-Tuttle,51040,2450872.598,0.905552721,162.4865754,172.5002737,235.2709891,0.976427916,19.7,33.24,0.008481,1.58E-09,9.19E-11,,,J985/69,55P/Tempel-Tuttle
66P/du Toit,52920,2452879.492,0.787701487,18.70073632,257.2497193,22.21536497,1.274266775,10.73,14.71,0.430358,-3.77E-10,-1.10E-10,,,48,66P/du Toit
67P/Churyumov-Gerasimenko,56981,2457247.572,0.640973931,7.040200902,12.78560607,50.14210951,1.243241683,5.68,6.44,0.257189,1.09E-09,1.07E-10,1.96E-10,,K084/21,67P/Churyumov-Gerasimenko
72P/Denning-Fujikawa,56981,2456850.137,0.819154527,9.16928387,337.8580425,36.10919646,0.784161206,7.89,9.03,0.085253,,,,,21,72P/Denning-Fujikawa
